Name;Sex;BirthDate;Address;PhoneNumber;Email;SNSUSerNumber;CitizenCardNumber
Bruno Pinto;;27/07/1948;Rua  Guilherme Costa Carvalho|334|4000-274|PORTO;953224349;953224349@gmail.com;161593138;10095848
João Felipe Rezende;;10/10/1955;Praça  Guilherme Gomes Fernandes|135|4050-293|PORTO;953224350;953224350@gmail.com;161593139;10095849
Ana Júlia Ramos;Feminino;4/1/1957;Praça  Guilherme Gomes Fernandes|41|4050-294|PORTO;953224351;953224351@gmail.com;161593140;10095850
Vitor Silveira;;6/11/1953;Rua  Guilhermina Suggia|194|4200-318|PORTO;953224352;953224352@gmail.com;161593141;10095851
Daniela da Rosa;;16/11/1948;Escadas  Guindais|493|4000-277|PORTO;953224353;953224353@gmail.com;161593142;10095852
Rodrigo Moreira;;10/6/1950;Escadas  Guindais|238|4000-276|PORTO;953224354;953224354@gmail.com;161593143;10095853
João Vitor da Conceição;;21/11/1951;Rua  Alto|276|4200-36|PORTO;953224355;953224355@gmail.com;161593144;10095854
Diego Silva;;27/11/1953;Rua  Alto|436|4200-35|PORTO;953224356;953224356@gmail.com;161593145;10095855
Agatha Moreira;;8/4/1955;Rua  Guiné|528|4100-276|PORTO;953224357;953224357@gmail.com;161593146;10095856
João Guilherme Oliveira;;31/07/1952;Rua  Açores|292|4250-14|PORTO;953224358;953224358@gmail.com;161593147;10095857
Kevin Moreira;;4/3/1956;Parque  Residêncial do Lima|211|4200-26|PORTO;953224359;953224359@gmail.com;161593148;10095858
Sra. Ana da Mata;;24/04/1950;Rua  Henrique Alegria|13|4150-393|PORTO;953224360;953224360@gmail.com;161593149;10095859
Srta. Gabrielly Caldeira;;23/09/1952;Rua  Henrique Alegria|383|4150-392|PORTO;953224361;953224361@gmail.com;161593150;10095860
Sra. Ana Beatriz Gomes;;13/10/1953;Rua  Henrique Lopes de Mendonça|145|4150-394|PORTO;953224362;953224362@gmail.com;161593151;10095861
Dra. Isadora Duarte;;8/8/1948;Rua  Henrique Lopes de Mendonça|149|4150-396|PORTO;953224363;953224363@gmail.com;161593152;10095862
Pedro Silveira;;14/06/1952;Rua  Henrique Lopes de Mendonça|247|4150-395|PORTO;953224364;953224364@gmail.com;161593153;10095863
Cecí­lia Caldeira;;6/11/1954;Rua  Henrique Lopes de Mendonça|291|4150-396|PORTO;953224365;953224365@gmail.com;161593154;10095864
Melissa Ramos;;22/05/1952;Rua  Henrique Lopes de Mendonça|114|4150-394|PORTO;953224366;953224366@gmail.com;161593155;10095865
Kamilly Pinto;;17/02/1950;Rua  Henrique Lopes de Mendonça|238|4150-395|PORTO;953224367;953224367@gmail.com;161593156;10095866
Maria Dias;Feminino;5/8/1952;Rua  Henrique Pousão|27|4100-278|PORTO;953224368;953224368@gmail.com;161593157;10095867
Vitor Hugo Pinto;Masculino;18/12/1952;Rua  Heras|225|4350-196|PORTO;953224369;953224369@gmail.com;161593158;10095868
Marcelo Campos;;16/03/1953;Rua  Hernâni Torres|181|4200-320|PORTO;953224370;953224370@gmail.com;161593159;10095869
Nicole Peixoto;;7/6/1954;Rua  Heróis e Mártires de Angola|440|4000-285|PORTO;953224371;953224371@gmail.com;161593160;10095870
Daniel Novaes;;19/10/1952;Rua  Heróis de Mucaba|502|4100-279|PORTO;953224372;953224372@gmail.com;161593161;10095871
Dr. Otávio Costela;;27/09/1953;Rua  Heroísmo|586|4300-258|PORTO;953224373;953224373@gmail.com;161593162;10095872
Maria Alice Rodrigues;Feminino;10/9/1953;Rua  Heroísmo|542|4300-259|PORTO;953224374;953224374@gmail.com;161593163;10095873
Luiz Henrique Sales;;11/3/1954;Rua  Heroísmo|468|4300-255|PORTO;953224375;953224375@gmail.com;161593164;10095874
Paulo da Rosa;;4/4/1953;Rua  Heroísmo|245|4300-256|PORTO;953224376;953224376@gmail.com;161593165;10095875
Valentina Silva;Feminino;6/5/1955;Rua  Heroísmo|187|4300-254|PORTO;953224377;953224377@gmail.com;161593166;10095876
Maité Monteiro;;1/1/1954;Rua  Heroísmo|251|4300-257|PORTO;953224378;953224378@gmail.com;161593167;10095877
Maria Cecília da Conceição;;21/02/1954;Rua  Heroísmo|20|4300-253|PORTO;953224379;953224379@gmail.com;161593168;10095878
Yuri Azevedo;;21/04/1952;Rua  Heroísmo|356|4349-17|PORTO;953224380;953224380@gmail.com;161593169;10095879
Marina Rodrigues;Feminino;6/4/1952;Rua  Alto da Arrábida|314|4150-55|PORTO;953224381;953224381@gmail.com;161593170;10095880
Brenda Ribeiro;;15/04/1953;Rua  Alto da Arrábida|460|4150-54|PORTO;953224382;953224382@gmail.com;161593171;10095881
Giovanna Pereira;Feminino;5/7/1953;Rua  Honório Barreto|103|4250-233|PORTO;953224383;953224383@gmail.com;161593172;10095882
João Felipe da Conceição;;1/1/1951;Rua  Honório Barreto|14|4250-232|PORTO;953224384;953224384@gmail.com;161593173;10095883
Pietra das Neves;;27/11/1956;Rua  Honório de Lima|477|4200-322|PORTO;953224385;953224385@gmail.com;161593174;10095884
Valentina Cardoso;;3/11/1955;Rua  Honório de Lima|587|4200-321|PORTO;953224386;953224386@gmail.com;161593175;10095885
Raul Pires;;12/10/1953;Rua  Hortênsias|58|4250-234|PORTO;953224387;953224387@gmail.com;161593176;10095886
Danilo Rocha;;23/12/1952;Esplanada  Molhe|66|4150-155|PORTO;953224388;953224388@gmail.com;161593177;10095887
Elisa Barbosa;;5/2/1950;Rampa  Igreja|600|4150-399|PORTO;953224389;953224389@gmail.com;161593178;10095888
Maria Cecília da Conceição;;17/09/1952;Largo  Igreja|71|4150-400|PORTO;953224390;953224390@gmail.com;161593179;10095889
Isadora Pereira;;31/05/1950;Rua  Igreja da Areosa|538|4200-323|PORTO;953224391;953224391@gmail.com;161593180;10095890
Sra. Maria Fernanda Duarte;;11/8/1951;Rua  Igreja de Campanhã|576|4300-262|PORTO;953224392;953224392@gmail.com;161593181;10095891
Augusto da Rocha;;17/09/1952;Rua  Igreja de Campanhã|383|4300-263|PORTO;953224393;953224393@gmail.com;161593182;10095892
Daniela da Luz;;1/2/1952;Rua  Igreja de Campanhã|488|4300-261|PORTO;953224394;953224394@gmail.com;161593183;10095893
Evelyn Aragão;;28/04/1951;Rua  Igreja de Campanhã|41|4300-260|PORTO;953224395;953224395@gmail.com;161593184;10095894
Maysa Almeida;;13/07/1951;Rua  Igreja de Cedofeita|344|4050-306|PORTO;953224396;953224396@gmail.com;161593185;10095895
Brenda Nunes;;3/6/1952;Travessa  Igreja de Nevogilde|306|4150-402|PORTO;953224397;953224397@gmail.com;161593186;10095896
Sr. Daniel Martins;;27/01/1953;Travessa  Igreja de Nevogilde|269|4150-401|PORTO;953224398;953224398@gmail.com;161593187;10095897
Enrico Monteiro;;18/07/1951;Travessa  Alto da Arrábida|516|4150-56|PORTO;953224399;953224399@gmail.com;161593188;10095898
Nathan Almeida;;10/6/1952;Largo  Igreja de Paranhos|14|4200-325|PORTO;953224400;953224400@gmail.com;161593189;10095899
Juan Silva;;17/09/1952;Rua  Igreja de Paranhos|203|4200-328|PORTO;953224401;953224401@gmail.com;161593190;10095900
Luiz Fernando Fernandes;;17/07/1956;Rua  Igreja de Paranhos|430|4200-330|PORTO;953224402;953224402@gmail.com;161593191;10095901
Vitória Silva;;23/11/1950;Rua  Igreja de Paranhos|495|4200-329|PORTO;953224403;953224403@gmail.com;161593192;10095902
Fernanda da Paz;;14/12/1951;Rua  Igreja de Paranhos|240|4200-326|PORTO;953224404;953224404@gmail.com;161593193;10095903
Dr. Samuel Cardoso;;11/8/1953;Rua  Igreja de Paranhos|436|4200-327|PORTO;953224405;953224405@gmail.com;161593194;10095904
Henrique Fernandes;;21/08/1952;Rua  Igreja de Paranhos|151|4200-328|PORTO;953224406;953224406@gmail.com;161593195;10095905
Igor Pereira;;21/10/1950;Rua  Igreja de Ramalde|512|4149-11|PORTO;953224407;953224407@gmail.com;161593196;10095906
João Lucas Cardoso;;5/2/1950;Rua  Igreja de Ramalde|41|4100-280|PORTO;953224408;953224408@gmail.com;161593197;10095907
Thales da Mata;;5/4/1955;Rua  Igreja de Ramalde|467|4100-281|PORTO;953224409;953224409@gmail.com;161593198;10095908
Heitor da Conceição;;7/8/1950;Rua  Igreja de Ramalde|373|4100-280|PORTO;953224410;953224410@gmail.com;161593199;10095909
Dra. Letícia Barbosa;;2/2/1953;Praça  Ilha Brava|386|4200-331|PORTO;953224411;953224411@gmail.com;161593200;10095910
Thiago Barros;;8/11/1953;Viela  Ilha do Ferro|594|4050-307|PORTO;953224412;953224412@gmail.com;161593201;10095911
Yago Castro;;27/02/1952;Rua  Ilha Terceira|341|4200-332|PORTO;953224413;953224413@gmail.com;161593202;10095912
Isabelly Freitas;Feminino;1/6/1951;Rua  Ilha Verde|42|4200-333|PORTO;953224414;953224414@gmail.com;161593203;10095913
João Vitor da Rosa;;13/11/1953;Travessa  Ilhéu|219|4300-265|PORTO;953224415;953224415@gmail.com;161593204;10095914
Giovanna Correia;;3/9/1950;Rua  Alto da Bela|571|4300-24|PORTO;953224416;953224416@gmail.com;161593205;10095915
Eduardo Costa;;14/06/1953;Rua  Alto da Bela|259|4300-23|PORTO;953224417;953224417@gmail.com;161593206;10095916
Alexandre Peixoto;;24/01/1950;Praça  Império|443|4150-758|PORTO;953224418;953224418@gmail.com;161593207;10095917
João Vitor Pinto;;29/12/1954;Praça  Império|62|4150-403|PORTO;953224419;953224419@gmail.com;161593208;10095918
Maité Cunha;;4/12/1951;Rua  Inácio Alberto de Sousa|269|4350-197|PORTO;953224420;953224420@gmail.com;161593209;10095919
Leonardo Farias;;5/9/1950;  Túnel das Antas I|136|4350-1|PORTO;953224421;953224421@gmail.com;161593210;10095920
Maria Alice da Luz;;9/1/1951;Rua  Ándia|481|4150-404|PORTO;953224422;953224422@gmail.com;161593211;10095921
Luiza da Cruz;;21/05/1952;Rua Infanta Dona Maria|578|4050-350|PORTO;953224423;953224423@gmail.com;161593212;10095922
Joaquim Nascimento;;18/10/1954;  Túnel das Antas II|368|4350-2|PORTO;953224424;953224424@gmail.com;161593213;10095923
Emanuella Rodrigues;;5/8/1954;Praça Infante Dom Henrique|378|4050-295|PORTO;953224425;953224425@gmail.com;161593214;10095924
Evelyn Sales;;18/10/1952;Rua Infante Dom Henrique|443|4050-298|PORTO;953224426;953224426@gmail.com;161593215;10095925
Dr. Igor Barbosa;;25/03/1953;Rua Infante Dom Henrique|524|4050-297|PORTO;953224427;953224427@gmail.com;161593216;10095926
Sr. Rafael Oliveira;;17/11/1953;Rua Infante Dom Henrique|118|4050-298|PORTO;953224428;953224428@gmail.com;161593217;10095927
Maria Cecília da Cruz;;12/1/1952;Rua Infante Dom Henrique|113|4050-296|PORTO;953224429;953224429@gmail.com;161593218;10095928
Sr. Isaac Araújo;;19/10/1952;Rua Infante Santo|445|4150-406|PORTO;953224430;953224430@gmail.com;161593219;10095929
Renan Pires;;20/08/1951;Calçada  Ingleses|501|4150-407|PORTO;953224431;953224431@gmail.com;161593220;10095930
Melissa Rocha;Feminino;24/02/1951;Rua  Alto da Fontinha|243|4000-70|PORTO;953224432;953224432@gmail.com;161593221;10095931
Ryan das Neves;;7/8/1952;Rua  Instituto de Cegos S Manuel|149|4050-308|PORTO;953224433;953224433@gmail.com;161593222;10095932
Lorena Santos;;19/05/1955;Praceta  Jaime Cortesão|295|4250-235|PORTO;953224434;953224434@gmail.com;161593223;10095933
Diego Teixeira;;28/09/1950;Largo  Redondelo|76|4050-242|PORTO;953224435;953224435@gmail.com;161593224;10095934
Julia Rodrigues;;18/03/1951;Pátio  Japoneiras|477|4150-410|PORTO;953224436;953224436@gmail.com;161593225;10095935
Juliana da Rocha;;8/6/1951;Rua  Jasmins|131|4250-236|PORTO;953224437;953224437@gmail.com;161593226;10095936
Rebeca Gonçalves;;7/8/1952;Rua  Jerónimo Mendonça|293|4200-335|PORTO;953224438;953224438@gmail.com;161593227;10095937
Eloah Barros;;26/07/1951;Praceta  João Augusto Ribeiro|315|4100-286|PORTO;953224439;953224439@gmail.com;161593228;10095938
Ana Clara Fogaça;;30/06/1951;Rua  João Baptista Lavanha|312|4150-412|PORTO;953224440;953224440@gmail.com;161593229;10095939
Eduardo da Costa;;17/05/1954;Rua  João Baptista Lavanha|380|4150-411|PORTO;953224441;953224441@gmail.com;161593230;10095940
Maria Sophia Barbosa;;10/11/1953;Rua  João de Barros|599|4150-415|PORTO;953224442;953224442@gmail.com;161593231;10095941
Evelyn Costela;;18/06/1953;Rua  João de Barros|543|4150-415|PORTO;953224443;953224443@gmail.com;161593232;10095942
Ana Carolina da Conceição;;26/11/1950;Rua  João de Barros|587|4150-416|PORTO;953224444;953224444@gmail.com;161593233;10095943
Isadora da Luz;Feminino;6/6/1947;Rua  João de Barros|113|4150-415|PORTO;953224445;953224445@gmail.com;161593234;10095944
Esther Nascimento;;30/01/1948;Rua  João de Barros|210|4150-415|PORTO;953224446;953224446@gmail.com;161593235;10095945
Cauã Cavalcanti;Feminino;28/02/1950;Rua  João de Barros|16|4150-414|PORTO;953224447;953224447@gmail.com;161593236;10095946
Yago Freitas;;11/9/1949;Rua  João de Barros|407|4150-413|PORTO;953224448;953224448@gmail.com;161593237;10095947
Ana Sophia da Costa;;31/08/1948;Rua  Alto do Mato|298|4150-62|PORTO;953224449;953224449@gmail.com;161593238;10095948
Sr. Carlos Eduardo Rodrigues;;8/11/1951;Rua  Armando Campos|591|4350-418|PORTO;953224450;953224450@gmail.com;161593239;10095949
Davi Luiz da Conceição;;25/02/1948;Rua  Maria Peregrina de Sousa|74|4250-95|PORTO;953224451;953224451@gmail.com;161593240;10095950
Vinicius da Cruz;;1/9/1953;Rua  Pedro Veiga|21|4150-335|PORTO;953224452;953224452@gmail.com;161593241;10095951
Isabelly Silveira;Feminino;27/09/1946;Bairro  João do Carmo|373|4150-425|PORTO;953224453;953224453@gmail.com;161593242;10095952
Vitor Teixeira;;20/11/1948;Parque São Bartolomeu|429|4150-94|PORTO;953224454;953224454@gmail.com;161593243;10095953
Julia Nunes;Feminino;30/06/1948;Calçada  João do Carmo|438|4150-426|PORTO;953224455;953224455@gmail.com;161593244;10095954
Ana Sophia Farias;Feminino;2/2/1947;Rua  João Corregedor da Fonseca|205|4350-202|PORTO;953224456;953224456@gmail.com;161593245;10095955
Alexandre Alves;;7/10/1947;Rua  João Corregedor da Fonseca|97|4350-201|PORTO;953224457;953224457@gmail.com;161593246;10095956
Natália Fogaça;Feminino;26/11/1946;Rua  João de Deus|458|4100-460|PORTO;953224458;953224458@gmail.com;161593247;10095957
Henrique Novaes;;13/05/1948;Rua  João de Deus|515|4100-461|PORTO;953224459;953224459@gmail.com;161593248;10095958
Carolina da Luz;Feminino;3/1/1950;Rua  João de Deus|234|4100-462|PORTO;953224460;953224460@gmail.com;161593249;10095959
Yuri Nogueira;;1/8/1948;Rua  João de Deus|565|4100-457|PORTO;953224461;953224461@gmail.com;161593250;10095960
Rafaela Peixoto;Feminino;7/10/1948;Rua  João de Deus|108|4100-458|PORTO;953224462;953224462@gmail.com;161593251;10095961
Maria Luiza da Mota;Feminino;2/2/1946;Rua  João de Deus|125|4100-459|PORTO;953224463;953224463@gmail.com;161593252;10095962
Ana Vitória Rodrigues;Feminino;6/9/1946;Rua  João de Deus|332|4100-456|PORTO;953224464;953224464@gmail.com;161593253;10095963
Stella Porto;;2/7/1947;Rua  João Grave|83|4150-428|PORTO;953224465;953224465@gmail.com;161593254;10095964
Matheus Castro;;16/01/1947;Rua  João Grave|50|4150-427|PORTO;953224466;953224466@gmail.com;161593255;10095965
Luiza da Mota;Feminino;2/1/1949;Rua  João de Lisboa|460|4150-418|PORTO;953224467;953224467@gmail.com;161593256;10095966
Pedro Henrique Ramos;;10/8/1947;Rua  João Martins Branco|199|4150-431|PORTO;953224468;953224468@gmail.com;161593257;10095967
João Lucas Ramos;;26/04/1950;Rua  João Martins Branco|448|4150-430|PORTO;953224469;953224469@gmail.com;161593258;10095968
Theo das Neves;;23/10/1949;Rua  João Lúcio Azevedo|280|4200-339|PORTO;953224470;953224470@gmail.com;161593259;10095969
Lorenzo Oliveira;;9/11/1948;Rua  João Lúcio Azevedo|355|4200-338|PORTO;953224471;953224471@gmail.com;161593260;10095970
Daniela Barbosa;;28/11/1948;Rua  Alto de Vila|291|4150-60|PORTO;953224472;953224472@gmail.com;161593261;10095971
Rafaela Costela;Feminino;16/12/1949;Rua  Alto de Vila|445|4150-59|PORTO;953224473;953224473@gmail.com;161593262;10095972
Henrique da Mota;;29/12/1946;Rua  Alto de Vila|353|4150-58|PORTO;953224474;953224474@gmail.com;161593263;10095973
Agatha Freitas;Feminino;16/09/1947;Rua  Alto de Vila|499|4150-57|PORTO;953224475;953224475@gmail.com;161593264;10095974
Danilo Alves;;28/04/1949;Rua  João de Oliveira Ramos|503|4000-294|PORTO;953224476;953224476@gmail.com;161593265;10095975
Bianca Aragão;Feminino;6/1/1947;Rua  João Paulo Freire|271|4150-432|PORTO;953224477;953224477@gmail.com;161593266;10095976
Enrico Nascimento;;4/2/1948;Rua  João Pedro Ribeiro|184|4000-307|PORTO;953224478;953224478@gmail.com;161593267;10095977
João Gabriel Duarte;;22/07/1949;Rua  João Pedro Ribeiro|349|4000-308|PORTO;953224479;953224479@gmail.com;161593268;10095978
Maria Alice Gonçalves;Feminino;1/10/1948;Rua  João Pedro Ribeiro|398|4000-305|PORTO;953224480;953224480@gmail.com;161593269;10095979
Sr. Arthur Pereira;;15/08/1949;Rua  João Pedro Ribeiro|86|4000-306|PORTO;953224481;953224481@gmail.com;161593270;10095980
Luna da Cruz;;13/07/1950;Rua Arquiteto João Queirós|24|4150-433|PORTO;953224482;953224482@gmail.com;161593271;10095981
Luana da Costa;;13/02/1949;Rua  João Ramalho|194|4200-342|PORTO;953224483;953224483@gmail.com;161593272;10095982
Levi Ramos;;1/3/1949;Rua  João Ramalho|276|4200-343|PORTO;953224484;953224484@gmail.com;161593273;10095983
Sr. João Gabriel Azevedo;;12/9/1949;Rua  João Ramalho|174|4200-340|PORTO;953224485;953224485@gmail.com;161593274;10095984
Maria Fernanda Duarte;;1/8/1949;Rua  João Ramalho|428|4200-341|PORTO;953224486;953224486@gmail.com;161593275;10095985
Sra. Bárbara Barros;Feminino;11/12/1948;Rua  João das Regras|61|4000-292|PORTO;953224487;953224487@gmail.com;161593276;10095986
Ana Luiza Barros;Feminino;12/5/1949;Rua  João das Regras|411|4000-293|PORTO;953224488;953224488@gmail.com;161593277;10095987
Catarina Santos;;22/09/1950;Rua  João das Regras|549|4000-292|PORTO;953224489;953224489@gmail.com;161593278;10095988
Marcela Jesus;;25/09/1947;Rua  João das Regras|410|4000-290|PORTO;953224490;953224490@gmail.com;161593279;10095989
Ana Julia da Conceição;;9/4/1946;Rua  João das Regras|309|4000-291|PORTO;953224491;953224491@gmail.com;161593280;10095990
Thiago Martins;;15/02/1948;Rua  João das Regras|528|4049-51|PORTO;953224492;953224492@gmail.com;161593281;10095991
Laís da Mata;;31/08/1948;Rua  João Roby|154|4200-345|PORTO;953224493;953224493@gmail.com;161593282;10095992
João Vitor da Cunha;;13/08/1949;Rua  João Rodrigues Cabrilho|511|4150-434|PORTO;953224494;953224494@gmail.com;161593283;10095993
Vitor Alves;;20/03/1946;Rua  Joaquim Alves Teixeira|378|4350-205|PORTO;953224495;953224495@gmail.com;161593284;10095994
Sr. Vitor Hugo Nunes;;29/10/1947;Rua  Joaquim António de Aguiar|396|4000-311|PORTO;953224496;953224496@gmail.com;161593285;10095995
Lavínia Rezende;;6/12/1951;Rua  Joaquim António de Aguiar|585|4300-267|PORTO;953224497;953224497@gmail.com;161593286;10095996
Srta. Maria Eduarda Lopes;;18/02/1945;Rua  Joaquim António de Aguiar|340|4000-309|PORTO;953224498;953224498@gmail.com;161593287;10095997
Eduardo da Conceição;;21/12/1949;Rua  Joaquim António de Aguiar|417|4000-310|PORTO;953224499;953224499@gmail.com;161593288;10095998
Srta. Pietra Monteiro;;3/1/1950;Rua  Joaquim António de Aguiar|142|4300-266|PORTO;953224500;953224500@gmail.com;161593289;10095999
Raquel Fernandes;;8/3/1947;Rua  Joaquim António de Aguiar|92|4049-56|PORTO;953224501;953224501@gmail.com;161593290;10096000
Maria da Mata;;15/04/1951;Travessa  Alto de Vila|471|4150-61|PORTO;953224502;953224502@gmail.com;161593291;10096001
Bryan da Cunha;;17/12/1946;Rua  Joaquim Kopke|267|4200-346|PORTO;953224503;953224503@gmail.com;161593292;10096002
Joana Ramos;;5/5/1948;Rua Padre António Joaquim da Silva Lopes|490|4250-45|PORTO;953224504;953224504@gmail.com;161593293;10096003
Dr. Samuel Azevedo;;29/01/1947;Rua  Fernando Lanhas|538|4250-159|PORTO;953224505;953224505@gmail.com;161593294;10096004
Thales da Rosa;;3/3/1945;Rua  Alcino Soutinho|473|4250-159|PORTO;953224506;953224506@gmail.com;161593295;10096005
Maria Cecília Rocha;;4/2/1948;Rua Professor Vasco Sá|78|4200-299|PORTO;953224507;953224507@gmail.com;161593296;10096006
Camila Santos;;16/11/1951;Escadas  Encontro|54|4200-285|PORTO;953224508;953224508@gmail.com;161593297;10096007
Sra. Juliana Aragão;;28/10/1951;Rua  Lugar da Travessa|220|4200-360|PORTO;953224509;953224509@gmail.com;161593298;10096008
Clarice Nunes;;7/9/1948;Rua  Joaquim Leitão|445|4100-289|PORTO;953224510;953224510@gmail.com;161593299;10096009
Larissa Moura;;24/12/1948;Rua  Joaquim Leitão|124|4100-290|PORTO;953224511;953224511@gmail.com;161593300;10096010
Thales Mendes;;22/05/1950;Rua  Joaquim Leitão|300|4100-288|PORTO;953224512;953224512@gmail.com;161593301;10096011
Pietra Pires;;24/12/1948;Rua  Guedes Pinheiro|342|4200-121|PORTO;953224513;953224513@gmail.com;161593302;10096012
Rebeca da Conceição;;29/08/1947;Rua  Costa Mendes|66|4200-117|PORTO;953224514;953224514@gmail.com;161593303;10096013
Thomas Costela;;16/11/1949;Rua  Antigo Bairro da Areosa|262|4200-118|PORTO;953224515;953224515@gmail.com;161593304;10096014
Nicolas da Paz;;6/2/1947;Rua  Antigo Bairro da Areosa|508|4200-118|PORTO;953224516;953224516@gmail.com;161593305;10096015
Benício Ramos;;21/09/1946;Rua  Antigo Bairro da Areosa|451|4200-123|PORTO;953224517;953224517@gmail.com;161593306;10096016
Milena Santos;;9/9/1949;Rua  Antigo Bairro da Areosa|489|4200-118|PORTO;953224518;953224518@gmail.com;161593307;10096017
Isis Mendes;;23/04/1947;Rua  Antigo Bairro da Areosa|59|4200-123|PORTO;953224519;953224519@gmail.com;161593308;10096018
Yuri Dias;;6/9/1946;Rua  Antigo Bairro da Areosa|402|4200-119|PORTO;953224520;953224520@gmail.com;161593309;10096019
Luiz Felipe Melo;;1/9/1949;Rua  Antigo Bairro da Areosa|498|4200-118|PORTO;953224521;953224521@gmail.com;161593310;10096020
Srta. Sophie Pinto;;16/08/1948;Rua  Antigo Bairro da Areosa|239|4200-118|PORTO;953224522;953224522@gmail.com;161593311;10096021
Amanda Lima;;7/11/1945;Rua  Antigo Bairro da Areosa|328|4200-123|PORTO;953224523;953224523@gmail.com;161593312;10096022
Juan da Cunha;;30/09/1948;Rua  Antigo Bairro da Areosa|343|4200-118|PORTO;953224524;953224524@gmail.com;161593313;10096023
Dr. Juan Melo;;8/1/1950;Rua  Antigo Bairro da Areosa|475|4200-119|PORTO;953224525;953224525@gmail.com;161593314;10096024
António Pereira;;17/10/1946;Rua Comendador Álvaro Portela|21|4000-294|PORTO;953224526;953224526@gmail.com;161593315;10096025
Maria Sophia da Mota;;11/1/1947;Rua  Joaquim de Vasconcelos|103|4050-311|PORTO;953224527;953224527@gmail.com;161593316;10096026
Enzo Silveira;;19/11/1951;Rua  Joaquim Vitorino Ribeiro|264|4350-207|PORTO;953224528;953224528@gmail.com;161593317;10096027
Bernardo Barros;;19/01/1948;Rua  Jorge Reinel|337|4150-436|PORTO;953224529;953224529@gmail.com;161593318;10096028
Elisa Duarte;;17/12/1948;Rua  Jorge Reinel|591|4150-435|PORTO;953224530;953224530@gmail.com;161593319;10096029
Benício Farias;;17/02/1947;Rua  Jorge de Sena|529|4050-312|PORTO;953224531;953224531@gmail.com;161593320;10096030
Larissa da Mata;;4/12/1952;Rua  Jorge Viterbo Ferreira|315|4050-313|PORTO;953224532;953224532@gmail.com;161593321;10096031
Alexia Barros;;27/01/1949;Rua  Jornal de Notícias|587|4100-295|PORTO;953224533;953224533@gmail.com;161593322;10096032
Maria Luiza Pires;;13/10/1950;Rua  Jornal de Notícias|478|4100-296|PORTO;953224534;953224534@gmail.com;161593323;10096033
Sra. Lavínia Azevedo;;8/10/1947;Rua  Jornal de Notícias|168|4100-297|PORTO;953224535;953224535@gmail.com;161593324;10096034
Daniel Freitas;;14/02/1949;Rua  Jornal de Notícias|443|4100-298|PORTO;953224536;953224536@gmail.com;161593325;10096035
Maria Sophia Pires;;3/7/1949;Rua  Jornal de Notícias|203|4100-293|PORTO;953224537;953224537@gmail.com;161593326;10096036
Thomas Martins;;23/07/1950;Rua  Jornal de Notícias|305|4100-294|PORTO;953224538;953224538@gmail.com;161593327;10096037
